-2.649	-0.041	0.247	2.202	-1.158	-0.394	1.158	-0.913	2.554
-1.598	1.318	-1.531	-2.279	-4.759	-1.294	-1.83	0.223	0.156
-3.323	-2.47	-2.265	-0.729	-3.291	-1.466	-1.362	0.054	-0.28
-3.448	0.533	-1.751	0.173	-1.455	-1.36	-0.067	-3.344	2.916
-2.513	0.462	0.634	1.863	-0.41	0.185	-0.547	0.869	-0.076
-5.496	-3.379	-1.255	1.536	-3.713	0.764	1.415	-2.17	0.094
-5.631	-3.372	0.321	-3.422	-3.899	0.428	-2.517	-2.038	3.41
-1.793	-0.329	0.264	-0.471	-2.825	0.404	1.433	-0.218	0.372
-0.754	-0.751	-0.947	-2.291	-1.894	0.296	-0.074	2.226	0.864
-5.044	1.472	-1.656	1.106	-3.531	-1.043	-0.093	-2.102	0.345
