3.794	1.231	1.749	1.616	1.135	0.998	0.831	-0.413	1.621
1.102	1.575	0.564	0.988	0.926	-0.069	1.402	0.525	-0.651
1.276	1.314	1.476	0.532	2.86	2.135	0.154	0.637	-0.081
1.254	0.582	0.948	0.404	2.982	-0.199	-0.181	-0.393	0.778
2.982	1.646	1.065	0.107	2.439	0.609	0.405	0.855	-0.281
1.584	0.053	-0.119	-1.614	1.802	0.376	-0.396	-0.037	-1.069
-0.207	-1.979	1.242	-0.995	2.448	1.261	-0.171	-0.614	0.07
1.24	0.264	-1.354	-1.237	1.356	0.189	0.508	-0.226	-0.394
3.593	1.354	0.778	-2.25	1.297	1.23	0.478	0.188	-0.156
2.681	1.958	-0.934	1.064	2.352	-0.847	0.343	0.036	0.082


