-2.649	-0.041	0.247	2.202	-1.158	-0.394	1.158	-0.913	2.554	-1.495	-0.252	1.145	2.456	-0.753	-0.437	2.061	-1.158	2.881	0.585	0.082	2.01	2.622	0.684	0.097	2.016	-0.592	2.943	3.794	1.231	1.749	1.616	1.135	0.998	0.831	-0.413	1.621	3.262	0.062	0.917	1.748	1.167	0.272	0.531	0.587	0.561
-1.598	1.318	-1.531	-2.279	-4.759	-1.294	-1.83	0.223	0.156	-0.151	1.831	-1.182	-1.639	-3	0.493	-0.692	0.142	0.504	1.357	1.981	0.724	-0.445	-1.381	1.714	0.259	0.77	0.465	1.102	1.575	0.564	0.988	0.926	-0.069	1.402	0.525	-0.651	1.661	3.053	1.705	-0.474	-0.062	0.001	1.111	0.94	-0.263
-3.323	-2.47	-2.265	-0.729	-3.291	-1.466	-1.362	0.054	-0.28	-2.788	-0.892	-1.806	-1.001	-2.667	-1	-1.472	0.291	0.145	-1.962	0.93	-0.265	-0.377	-0.038	0.155	-1.092	0.274	0.309	1.276	1.314	1.476	0.532	2.86	2.135	0.154	0.637	-0.081	1.286	2.262	1.85	1.049	1.587	0.964	0.399	0.338	0.68
-3.448	0.533	-1.751	0.173	-1.455	-1.36	-0.067	-3.344	2.916	-2.512	0.879	-0.878	0.378	-0.578	-1.357	-0.993	-3.048	2.404	-1.383	0.986	-0.016	0.331	1.314	-1.594	-0.957	-2.337	1.536	1.254	0.582	0.948	0.404	2.982	-0.199	-0.181	-0.393	0.778	2.049	1.099	0.666	0.536	2.989	-0.814	0.043	-0.228	0.443
-2.513	0.462	0.634	1.863	-0.41	0.185	-0.547	0.869	-0.076	-2.053	0.675	0.604	0.901	-0.655	-0.358	-0.588	1.063	0.208	-0.759	0.666	0.545	-0.111	1.155	-0.305	-0.555	1.019	0.166	2.982	1.646	1.065	0.107	2.439	0.609	0.405	0.855	-0.281	2.034	1.284	0.454	0.527	0.86	0.81	0.415	1.722	0.033
-5.496	-3.379	-1.255	1.536	-3.713	0.764	1.415	-2.17	0.094	-3.751	-3.98	-0.927	1.177	-4.883	0.885	1.019	-2.382	0.369	-1.099	-3.482	-0.256	-0.558	-4.273	0.564	0.472	-1.867	0.052	1.584	0.053	-0.119	-1.614	1.802	0.376	-0.396	-0.037	-1.069	3.31	0.83	-0.357	-0.615	2.477	0.245	-0.648	-0.237	-0.598
-5.631	-3.372	0.321	-3.422	-3.899	0.428	-2.517	-2.038	3.41	-4.592	-2.521	0.225	-3.031	-3.238	1.477	-1.733	-2.013	3.156	-2.653	-2.077	0.577	-1.543	-0.464	2.065	-1.268	-1.92	1.922	-0.207	-1.979	1.242	-0.995	2.448	1.261	-0.171	-0.614	0.07	0.355	-1.195	0.805	-0.455	1.387	2.172	-0.036	-0.182	0.363
-1.793	-0.329	0.264	-0.471	-2.825	0.404	1.433	-0.218	0.372	-0.686	0.128	-0.015	-1.704	-1.425	-0.182	1.584	-0.418	0.267	0.661	0.194	-1.11	-2.175	0.62	-0.147	1.795	-0.371	-0.241	1.24	0.264	-1.354	-1.237	1.356	0.189	0.508	-0.226	-0.394	2.435	0.458	-1.218	-1.352	2.332	0.16	0.549	0.215	-0.412
-0.754	-0.751	-0.947	-2.291	-1.894	0.296	-0.074	2.226	0.864	0.249	-0.014	-0.613	-3	-1.21	0.036	0.426	1.67	1.016	2.296	0.706	-0.037	-3.258	0.256	0.121	1.042	0.785	0.73	3.593	1.354	0.778	-2.25	1.297	1.23	0.478	0.188	-0.156	4.193	1.651	1.124	-2.17	2.839	0.447	1.532	0.53	0.072
-5.044	1.472	-1.656	1.106	-3.531	-1.043	-0.093	-2.102	0.345	-3.968	0.859	-2.467	0.271	-3.503	-0.454	-0.803	-2.029	0.633	-1.891	1.51	-2.122	-0.283	-1.444	-0.976	-1.398	-0.904	0.367	2.681	1.958	-0.934	1.064	2.352	-0.847	0.343	0.036	0.082	-0.244	1.417	-0.439	1.011	0.062	0.293	-0.283	-0.814	1.016
