1	1
2	2
3	3
31	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
8	5
81	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
8	5
84	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
6	6
10	6
101	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
7	2
71	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
7	2
74	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
7	2
71	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
7	2
71	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
10	6
104	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
7	2
71	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
6	6
10	6
104	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
10	6
101	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
7	2
74	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
10	6
101	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
10	6
104	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
8	5
84	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
10	6
101	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
8	5
81	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
8	5
84	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
8	5
84	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
10	6
101	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
7	2
74	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
9	3
94	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
7	2
71	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
9	3
91	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
10	6
104	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
7	2
74	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
7	2
71	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
8	5
81	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
8	5
84	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
34	4
5	5
6	6
10	6
101	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
10	6
104	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
7	2
71	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
9	3
91	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
8	5
84	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
3	3
31	1
2	2
7	2
74	4
5	5
6	6
64	4
5	5
6	6
64	4
5	5
8	5
81	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
9	3
91	1
2	2
3	3
34	4
5	5
6	6
64	4
5	5
8	5
84	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
9	3
94	4
5	5
6	6
64	4
5	5
6	6
61	1
2	2
3	3
9	3
94	4
5	5
6	6
61	1
2	2
3	3
31	1
2	2
3	3
34	4
5	5
6	6
61	1
2	2
3	3
